Participant ID,ISO2 country code,ISO3,Power Distance,Individualism,Masculinity,Uncertainty Avoidance,Long Term Orientation,Indulgence
p153,AE,ARE,74,36,52,66,22,22
p154,AE,ARE,74,36,52,66,22,22
p155,AE,ARE,74,36,52,66,22,22
p156,AE,ARE,74,36,52,66,22,22
p157,AE,ARE,74,36,52,66,22,22
p158,AE,ARE,74,36,52,66,22,22
p159,AE,ARE,74,36,52,66,22,22
p160,AE,ARE,74,36,52,66,22,22
p161,AE,ARE,74,36,52,66,22,22
p162,AE,ARE,74,36,52,66,22,22
p163,AE,ARE,74,36,52,66,22,22
p164,AE,ARE,74,36,52,66,22,22
p165,AE,ARE,74,36,52,66,22,22
p166,AE,ARE,74,36,52,66,22,22
p167,AE,ARE,74,36,52,66,22,22
p168,AE,ARE,74,36,52,66,22,22
p169,AE,ARE,74,36,52,66,22,22
p170,AE,ARE,74,36,52,66,22,22
p171,AE,ARE,74,36,52,66,22,22
p172,AE,ARE,74,36,52,66,22,22
p173,AE,ARE,74,36,52,66,22,22
p174,AE,ARE,74,36,52,66,22,22
p175,AE,ARE,74,36,52,66,22,22
p176,AE,ARE,74,36,52,66,22,22
p177,AE,ARE,74,36,52,66,22,22
p178,AE,ARE,74,36,52,66,22,22
p179,AE,ARE,74,36,52,66,22,22
p180,AE,ARE,74,36,52,66,22,22
p181,AE,ARE,74,36,52,66,22,22
p182,AE,ARE,74,36,52,66,22,22
p183,AE,ARE,74,36,52,66,22,22
p184,AE,ARE,74,36,52,66,22,22
p185,AE,ARE,74,36,52,66,22,22
p186,AE,ARE,74,36,52,66,22,22
p187,AE,ARE,74,36,52,66,22,22
p188,AE,ARE,74,36,52,66,22,22
p189,AE,ARE,74,36,52,66,22,22
p190,AE,ARE,74,36,52,66,22,22
p191,AE,ARE,74,36,52,66,22,22
p192,AE,ARE,74,36,52,66,22,22
p193,AE,ARE,74,36,52,66,22,22
p194,AE,ARE,74,36,52,66,22,22
p195,AE,ARE,74,36,52,66,22,22
p196,AE,ARE,74,36,52,66,22,22
p197,AE,ARE,74,36,52,66,22,22
p198,AE,ARE,74,36,52,66,22,22
p199,AE,ARE,74,36,52,66,22,22
p200,AE,ARE,74,36,52,66,22,22
p201,AE,ARE,74,36,52,66,22,22
p202,AE,ARE,74,36,52,66,22,22
p203,AE,ARE,74,36,52,66,22,22
p204,AE,ARE,74,36,52,66,22,22
p205,AE,ARE,74,36,52,66,22,22
p206,AE,ARE,74,36,52,66,22,22
p207,AE,ARE,74,36,52,66,22,22
p208,AE,ARE,74,36,52,66,22,22
p209,AE,ARE,74,36,52,66,22,22
p210,AE,ARE,74,36,52,66,22,22
p211,AE,ARE,74,36,52,66,22,22
p212,AE,ARE,74,36,52,66,22,22
p213,AE,ARE,74,36,52,66,22,22
p214,AE,ARE,74,36,52,66,22,22
p215,AE,ARE,74,36,52,66,22,22
p216,AE,ARE,74,36,52,66,22,22
p217,AE,ARE,74,36,52,66,22,22
p218,AE,ARE,74,36,52,66,22,22
p219,AE,ARE,74,36,52,66,22,22
p220,AE,ARE,74,36,52,66,22,22
p221,AE,ARE,74,36,52,66,22,22
p222,AE,ARE,74,36,52,66,22,22
p223,AE,ARE,74,36,52,66,22,22
p224,AE,ARE,74,36,52,66,22,22
p225,AE,ARE,74,36,52,66,22,22
p226,AE,ARE,74,36,52,66,22,22
p227,AE,ARE,74,36,52,66,22,22
p228,AE,ARE,74,36,52,66,22,22
p229,AE,ARE,74,36,52,66,22,22
p230,AE,ARE,74,36,52,66,22,22
p231,AE,ARE,74,36,52,66,22,22
p232,AE,ARE,74,36,52,66,22,22
p233,AE,ARE,74,36,52,66,22,22
p234,AE,ARE,74,36,52,66,22,22
p235,AE,ARE,74,36,52,66,22,22
p236,AE,ARE,74,36,52,66,22,22
p237,AE,ARE,74,36,52,66,22,22
p238,AE,ARE,74,36,52,66,22,22
p239,AE,ARE,74,36,52,66,22,22
p240,AE,ARE,74,36,52,66,22,22
p241,AE,ARE,74,36,52,66,22,22
p242,AE,ARE,74,36,52,66,22,22
p243,AE,ARE,74,36,52,66,22,22
p244,AE,ARE,74,36,52,66,22,22
p245,AE,ARE,74,36,52,66,22,22
p246,AE,ARE,74,36,52,66,22,22
p247,AE,ARE,74,36,52,66,22,22
p248,AE,ARE,74,36,52,66,22,22
p249,AE,ARE,74,36,52,66,22,22
p250,AE,ARE,74,36,52,66,22,22
p251,AE,ARE,74,36,52,66,22,22
p252,AE,ARE,74,36,52,66,22,22
p253,AE,ARE,74,36,52,66,22,22
p254,AE,ARE,74,36,52,66,22,22
p255,AE,ARE,74,36,52,66,22,22
p256,AE,ARE,74,36,52,66,22,22
p257,AE,ARE,74,36,52,66,22,22
p258,AE,ARE,74,36,52,66,22,22
p259,AE,ARE,74,36,52,66,22,22
p260,AE,ARE,74,36,52,66,22,22
p261,AE,ARE,74,36,52,66,22,22
p262,AE,ARE,74,36,52,66,22,22
p263,AE,ARE,74,36,52,66,22,22
p264,AE,ARE,74,36,52,66,22,22
p265,AE,ARE,74,36,52,66,22,22
p266,AE,ARE,74,36,52,66,22,22
p267,AE,ARE,74,36,52,66,22,22
p268,AE,ARE,74,36,52,66,22,22
p269,AE,ARE,74,36,52,66,22,22
p270,AE,ARE,74,36,52,66,22,22
p271,AE,ARE,74,36,52,66,22,22
p272,AE,ARE,74,36,52,66,22,22
p273,AE,ARE,74,36,52,66,22,22
p274,AE,ARE,74,36,52,66,22,22
p275,AE,ARE,74,36,52,66,22,22
p276,AE,ARE,74,36,52,66,22,22
p277,AE,ARE,74,36,52,66,22,22
p278,AE,ARE,74,36,52,66,22,22
p279,AE,ARE,74,36,52,66,22,22
p280,AE,ARE,74,36,52,66,22,22
p281,AE,ARE,74,36,52,66,22,22
p282,AE,ARE,74,36,52,66,22,22
p283,AE,ARE,74,36,52,66,22,22
p284,AE,ARE,74,36,52,66,22,22
p285,AE,ARE,74,36,52,66,22,22
p286,AE,ARE,74,36,52,66,22,22
p287,AE,ARE,74,36,52,66,22,22
p288,AE,ARE,74,36,52,66,22,22
p289,AE,ARE,74,36,52,66,22,22
p290,AE,ARE,74,36,52,66,22,22
p291,AE,ARE,74,36,52,66,22,22
p292,AE,ARE,74,36,52,66,22,22
p293,AE,ARE,74,36,52,66,22,22
p294,AE,ARE,74,36,52,66,22,22
p295,AE,ARE,74,36,52,66,22,22
p296,AE,ARE,74,36,52,66,22,22
p297,AE,ARE,74,36,52,66,22,22
p298,AE,ARE,74,36,52,66,22,22
p299,AE,ARE,74,36,52,66,22,22
p300,AE,ARE,74,36,52,66,22,22
p301,AE,ARE,74,36,52,66,22,22
p302,AE,ARE,74,36,52,66,22,22
p303,AE,ARE,74,36,52,66,22,22
p304,AE,ARE,74,36,52,66,22,22
p305,AE,ARE,74,36,52,66,22,22
p306,AE,ARE,74,36,52,66,22,22
p307,AE,ARE,74,36,52,66,22,22
p308,AE,ARE,74,36,52,66,22,22
p309,AE,ARE,74,36,52,66,22,22
p310,AE,ARE,74,36,52,66,22,22
p311,AE,ARE,74,36,52,66,22,22
p312,AE,ARE,74,36,52,66,22,22
p313,AE,ARE,74,36,52,66,22,22
p27670,AR,ARG,,,,,,
p27671,AR,ARG,,,,,,
p27673,AR,ARG,,,,,,
p27674,AR,ARG,,,,,,
p27676,AR,ARG,,,,,,
p27677,AR,ARG,,,,,,
p27678,AR,ARG,,,,,,
p27681,AR,ARG,,,,,,
p27682,AR,ARG,,,,,,
p27683,AR,ARG,,,,,,
p27687,AR,ARG,,,,,,
p27688,AR,ARG,,,,,,
p27689,AR,ARG,,,,,,
p27692,AR,ARG,,,,,,
p27693,AR,ARG,,,,,,
p27694,AR,ARG,,,,,,
p27697,AR,ARG,,,,,,
p27699,AR,ARG,,,,,,
p27701,AR,ARG,,,,,,
p27703,AR,ARG,,,,,,
p27705,AR,ARG,,,,,,
p27706,AR,ARG,,,,,,
p27707,AR,ARG,,,,,,
p27708,AR,ARG,,,,,,
p27709,AR,ARG,,,,,,
p27714,AR,ARG,,,,,,
p27721,AR,ARG,,,,,,
p27723,AR,ARG,,,,,,
p27725,AR,ARG,,,,,,
p27726,AR,ARG,,,,,,
p27728,AR,ARG,,,,,,
p27729,AR,ARG,,,,,,
p27730,AR,ARG,,,,,,
p27732,AR,ARG,,,,,,
p27734,AR,ARG,,,,,,
p27735,AR,ARG,,,,,,
p27736,AR,ARG,,,,,,
p27739,AR,ARG,,,,,,
p27741,AR,ARG,,,,,,
p27744,AR,ARG,,,,,,
p27746,AR,ARG,,,,,,
p27748,AR,ARG,,,,,,
p27750,AR,ARG,,,,,,
p27751,AR,ARG,,,,,,
p27752,AR,ARG,,,,,,
p27754,AR,ARG,,,,,,
p27755,AR,ARG,,,,,,
p27757,AR,ARG,,,,,,
p27758,AR,ARG,,,,,,
p27759,AR,ARG,,,,,,
p27760,AR,ARG,,,,,,
p27764,AR,ARG,,,,,,
p27768,AR,ARG,,,,,,
p27770,AR,ARG,,,,,,
p27771,AR,ARG,,,,,,
p27772,AR,ARG,,,,,,
p27777,AR,ARG,,,,,,
p27778,AR,ARG,,,,,,
p27780,AR,ARG,,,,,,
p27781,AR,ARG,,,,,,
p27782,AR,ARG,,,,,,
p27783,AR,ARG,,,,,,
p27785,AR,ARG,,,,,,
p27788,AR,ARG,,,,,,
p27790,AR,ARG,,,,,,
p27791,AR,ARG,,,,,,
p27792,AR,ARG,,,,,,
p27793,AR,ARG,,,,,,
p27797,AR,ARG,,,,,,
p27798,AR,ARG,,,,,,
p27799,AR,ARG,,,,,,
p27800,AR,ARG,,,,,,
p27801,AR,ARG,,,,,,
p27802,AR,ARG,,,,,,
p27803,AR,ARG,,,,,,
p27804,AR,ARG,,,,,,
p27805,AR,ARG,,,,,,
p27807,AR,ARG,,,,,,
p27809,AR,ARG,,,,,,
p27810,AR,ARG,,,,,,
p27811,AR,ARG,,,,,,
p27812,AR,ARG,,,,,,
p27814,AR,ARG,,,,,,
p27815,AR,ARG,,,,,,
p27816,AR,ARG,,,,,,
p27818,AR,ARG,,,,,,
p27821,AR,ARG,,,,,,
p27822,AR,ARG,,,,,,
p27824,AR,ARG,,,,,,
p27825,AR,ARG,,,,,,
p27828,AR,ARG,,,,,,
p27829,AR,ARG,,,,,,
p27830,AR,ARG,,,,,,
p27831,AR,ARG,,,,,,
p27832,AR,ARG,,,,,,
p27833,AR,ARG,,,,,,
p27835,AR,ARG,,,,,,
p27837,AR,ARG,,,,,,
p27838,AR,ARG,,,,,,
p27839,AR,ARG,,,,,,
p27840,AR,ARG,,,,,,
p27841,AR,ARG,,,,,,
p27843,AR,ARG,,,,,,
p27844,AR,ARG,,,,,,
p27845,AR,ARG,,,,,,
p27846,AR,ARG,,,,,,
p27849,AR,ARG,,,,,,
p27851,AR,ARG,,,,,,
p27852,AR,ARG,,,,,,
p27855,AR,ARG,,,,,,
p27856,AR,ARG,,,,,,
p27857,AR,ARG,,,,,,
p27858,AR,ARG,,,,,,
p27859,AR,ARG,,,,,,
p27860,AR,ARG,,,,,,
p27861,AR,ARG,,,,,,
p27862,AR,ARG,,,,,,
p27863,AR,ARG,,,,,,
p27864,AR,ARG,,,,,,
p27868,AR,ARG,,,,,,
p27871,AR,ARG,,,,,,
p27872,AR,ARG,,,,,,
p27874,AR,ARG,,,,,,
p27875,AR,ARG,,,,,,
p27878,AR,ARG,,,,,,
p27879,AR,ARG,,,,,,
p27885,AR,ARG,,,,,,
p27888,AR,ARG,,,,,,
p27891,AR,ARG,,,,,,
p27894,AR,ARG,,,,,,
p27897,AR,ARG,,,,,,
p27899,AR,ARG,,,,,,
p27900,AR,ARG,,,,,,
p27903,AR,ARG,,,,,,
p27909,AR,ARG,,,,,,
p27910,AR,ARG,,,,,,
p27912,AR,ARG,,,,,,
p27913,AR,ARG,,,,,,
p27914,AR,ARG,,,,,,
p27915,AR,ARG,,,,,,
p27916,AR,ARG,,,,,,
p27917,AR,ARG,,,,,,
p27918,AR,ARG,,,,,,
p27920,AR,ARG,,,,,,
p27922,AR,ARG,,,,,,
p27924,AR,ARG,,,,,,
p27925,AR,ARG,,,,,,
p27927,AR,ARG,,,,,,
p27928,AR,ARG,,,,,,
p27930,AR,ARG,,,,,,
p27932,AR,ARG,,,,,,
p27933,AR,ARG,,,,,,
p27934,AR,ARG,,,,,,
p27935,AR,ARG,,,,,,
p27937,AR,ARG,,,,,,
p27938,AR,ARG,,,,,,
p27939,AR,ARG,,,,,,
p27940,AR,ARG,,,,,,
p27941,AR,ARG,,,,,,
p27942,AR,ARG,,,,,,
p27943,AR,ARG,,,,,,
p27946,AR,ARG,,,,,,
p27948,AR,ARG,,,,,,
p27951,AR,ARG,,,,,,
p27952,AR,ARG,,,,,,
p27953,AR,ARG,,,,,,
p27954,AR,ARG,,,,,,
p27956,AR,ARG,,,,,,
p27960,AR,ARG,,,,,,
p27961,AR,ARG,,,,,,
p27963,AR,ARG,,,,,,
p27965,AR,ARG,,,,,,
p27966,AR,ARG,,,,,,
p27968,AR,ARG,,,,,,
p27969,AR,ARG,,,,,,
p27970,AR,ARG,,,,,,
p27973,AR,ARG,,,,,,
p27974,AR,ARG,,,,,,
p27975,AR,ARG,,,,,,
p27977,AR,ARG,,,,,,
p27978,AR,ARG,,,,,,
p27979,AR,ARG,,,,,,
p27980,AR,ARG,,,,,,
p27981,AR,ARG,,,,,,
p27983,AR,ARG,,,,,,
p27984,AR,ARG,,,,,,
p27987,AR,ARG,,,,,,
p27989,AR,ARG,,,,,,
p27991,AR,ARG,,,,,,
p27992,AR,ARG,,,,,,
p27993,AR,ARG,,,,,,
p27996,AR,ARG,,,,,,
p27997,AR,ARG,,,,,,
p27998,AR,ARG,,,,,,
p27999,AR,ARG,,,,,,
p28000,AR,ARG,,,,,,
p28001,AR,ARG,,,,,,
p28004,AR,ARG,,,,,,
p28005,AR,ARG,,,,,,
p28006,AR,ARG,,,,,,
p28007,AR,ARG,,,,,,
p28008,AR,ARG,,,,,,
p28009,AR,ARG,,,,,,
p28010,AR,ARG,,,,,,
p28011,AR,ARG,,,,,,
p28012,AR,ARG,,,,,,
p28014,AR,ARG,,,,,,
p28016,AR,ARG,,,,,,
p28017,AR,ARG,,,,,,
p28019,AR,ARG,,,,,,
p28020,AR,ARG,,,,,,
p28025,AR,ARG,,,,,,
p28026,AR,ARG,,,,,,
p28028,AR,ARG,,,,,,
p28030,AR,ARG,,,,,,
p28037,AR,ARG,,,,,,
p28039,AR,ARG,,,,,,
p28040,AR,ARG,,,,,,
p28041,AR,ARG,,,,,,
p28042,AR,ARG,,,,,,
p28044,AR,ARG,,,,,,
p28045,AR,ARG,,,,,,
p28046,AR,ARG,,,,,,
p28047,AR,ARG,,,,,,
p28048,AR,ARG,,,,,,
p28049,AR,ARG,,,,,,
p28052,AR,ARG,,,,,,
p28053,AR,ARG,,,,,,
p28054,AR,ARG,,,,,,
p28055,AR,ARG,,,,,,
p28057,AR,ARG,,,,,,
p28061,AR,ARG,,,,,,
p28064,AR,ARG,,,,,,
p28066,AR,ARG,,,,,,
p28067,AR,ARG,,,,,,
p28068,AR,ARG,,,,,,
p28072,AR,ARG,,,,,,
p28073,AR,ARG,,,,,,
p28075,AR,ARG,,,,,,
p28077,AR,ARG,,,,,,
p28080,AR,ARG,,,,,,
p28081,AR,ARG,,,,,,
p28082,AR,ARG,,,,,,
p28083,AR,ARG,,,,,,
p28084,AR,ARG,,,,,,
p28085,AR,ARG,,,,,,
p28086,AR,ARG,,,,,,
p28087,AR,ARG,,,,,,
p28088,AR,ARG,,,,,,
p28089,AR,ARG,,,,,,
p28090,AR,ARG,,,,,,
p28091,AR,ARG,,,,,,
p28092,AR,ARG,,,,,,
p28094,AR,ARG,,,,,,
p28095,AR,ARG,,,,,,
p28097,AR,ARG,,,,,,
p28098,AR,ARG,,,,,,
p28099,AR,ARG,,,,,,
p28100,AR,ARG,,,,,,
p28101,AR,ARG,,,,,,
p28102,AR,ARG,,,,,,
p28104,AR,ARG,,,,,,
p28105,AR,ARG,,,,,,
p28107,AR,ARG,,,,,,
p28108,AR,ARG,,,,,,
p28109,AR,ARG,,,,,,
p28110,AR,ARG,,,,,,
p28111,AR,ARG,,,,,,
p28113,AR,ARG,,,,,,
p28116,AR,ARG,,,,,,
p28117,AR,ARG,,,,,,
p28118,AR,ARG,,,,,,
p28119,AR,ARG,,,,,,
p28120,AR,ARG,,,,,,
p28121,AR,ARG,,,,,,
p28122,AR,ARG,,,,,,
p28126,AR,ARG,,,,,,
p28127,AR,ARG,,,,,,
p28128,AR,ARG,,,,,,
p28129,AR,ARG,,,,,,
p28130,AR,ARG,,,,,,
p28132,AR,ARG,,,,,,
p28133,AR,ARG,,,,,,
p28134,AR,ARG,,,,,,
p28135,AR,ARG,,,,,,
p28138,AR,ARG,,,,,,
p28139,AR,ARG,,,,,,
p28140,AR,ARG,,,,,,
p28141,AR,ARG,,,,,,
p28144,AR,ARG,,,,,,
p28146,AR,ARG,,,,,,
p28147,AR,ARG,,,,,,
p28149,AR,ARG,,,,,,
p28150,AR,ARG,,,,,,
p28151,AR,ARG,,,,,,
p28152,AR,ARG,,,,,,
p28153,AR,ARG,,,,,,
p28154,AR,ARG,,,,,,
p28157,AR,ARG,,,,,,
p28158,AR,ARG,,,,,,
p28160,AR,ARG,,,,,,
p28161,AR,ARG,,,,,,
p28162,AR,ARG,,,,,,
p28165,AR,ARG,,,,,,
p28166,AR,ARG,,,,,,
p28170,AR,ARG,,,,,,
p28171,AR,ARG,,,,,,
p28172,AR,ARG,,,,,,
p28176,AR,ARG,,,,,,
p28177,AR,ARG,,,,,,
p28178,AR,ARG,,,,,,
p28180,AR,ARG,,,,,,
p28182,AR,ARG,,,,,,
p28185,AR,ARG,,,,,,
p28186,AR,ARG,,,,,,
p28189,AR,ARG,,,,,,
p28190,AR,ARG,,,,,,
p28191,AR,ARG,,,,,,
p28193,AR,ARG,,,,,,
p28196,AR,ARG,,,,,,
p28198,AR,ARG,,,,,,
p28200,AR,ARG,,,,,,
p28201,AR,ARG,,,,,,
p28202,AR,ARG,,,,,,
p28206,AR,ARG,,,,,,
p28210,AR,ARG,,,,,,
p28211,AR,ARG,,,,,,
p28212,AR,ARG,,,,,,
p28213,AR,ARG,,,,,,
p28217,AR,ARG,,,,,,
p28226,AR,ARG,,,,,,
p28227,AR,ARG,,,,,,
p28228,AR,ARG,,,,,,
p28229,AR,ARG,,,,,,
p28230,AR,ARG,,,,,,
p28235,AR,ARG,,,,,,
p28236,AR,ARG,,,,,,
p28241,AR,ARG,,,,,,
p28248,AR,ARG,,,,,,
p28251,AR,ARG,,,,,,
p28254,AR,ARG,,,,,,
p28255,AR,ARG,,,,,,
p28256,AR,ARG,,,,,,
p28258,AR,ARG,,,,,,
p28260,AR,ARG,,,,,,
p28261,AR,ARG,,,,,,
p28263,AR,ARG,,,,,,
p28264,AR,ARG,,,,,,
p28265,AR,ARG,,,,,,
p28268,AR,ARG,,,,,,
p28270,AR,ARG,,,,,,
p28271,AR,ARG,,,,,,
p28272,AR,ARG,,,,,,
p28273,AR,ARG,,,,,,
p28279,AR,ARG,,,,,,
p28280,AR,ARG,,,,,,
p28282,AR,ARG,,,,,,
p28283,AR,ARG,,,,,,
p28284,AR,ARG,,,,,,
p28285,AR,ARG,,,,,,
p28286,AR,ARG,,,,,,
p28287,AR,ARG,,,,,,
p28288,AR,ARG,,,,,,
p28289,AR,ARG,,,,,,
p28294,AR,ARG,,,,,,
p28296,AR,ARG,,,,,,
p28297,AR,ARG,,,,,,
p28299,AR,ARG,,,,,,
p28302,AR,ARG,,,,,,
p28303,AR,ARG,,,,,,
p28304,AR,ARG,,,,,,
p28306,AR,ARG,,,,,,
p28307,AR,ARG,,,,,,
p28308,AR,ARG,,,,,,
p28309,AR,ARG,,,,,,
p28311,AR,ARG,,,,,,
p28314,AR,ARG,,,,,,
p28322,AR,ARG,,,,,,
p28323,AR,ARG,,,,,,
p28325,AR,ARG,,,,,,
p28327,AR,ARG,,,,,,
p28330,AR,ARG,,,,,,
p28341,AR,ARG,,,,,,
p28342,AR,ARG,,,,,,
p28346,AR,ARG,,,,,,
p28349,AR,ARG,,,,,,
p28350,AR,ARG,,,,,,
p28354,AR,ARG,,,,,,
p28358,AR,ARG,,,,,,
p28360,AR,ARG,,,,,,
p28363,AR,ARG,,,,,,
p28370,AR,ARG,,,,,,
p28372,AR,ARG,,,,,,
p28380,AR,ARG,,,,,,
p28384,AR,ARG,,,,,,
p28389,AR,ARG,,,,,,
p28390,AR,ARG,,,,,,
p28392,AR,ARG,,,,,,
p28393,AR,ARG,,,,,,
p28394,AR,ARG,,,,,,
p28396,AR,ARG,,,,,,
p28400,AR,ARG,,,,,,
p28403,AR,ARG,,,,,,
p28404,AR,ARG,,,,,,
p28407,AR,ARG,,,,,,
p28410,AR,ARG,,,,,,
p28411,AR,ARG,,,,,,
p28412,AR,ARG,,,,,,
p28414,AR,ARG,,,,,,
p28416,AR,ARG,,,,,,
p28417,AR,ARG,,,,,,
